Student_ID,Is_Gamified,Practice_Exam,Final_Exam,Total_Engagement,Avg_Quiz_Grade
1046,1,9.33,7.98,5,7.33
1048,0,2.89,6.49,0,0.0
1050,1,7.67,6.9,6,9.83
1052,1,4.97,7.69,10,6.17
1054,1,3.89,7.78,17,9.89
1056,1,4.75,6.02,13,7.78
1058,1,0.0,6.02,11,6.25
1060,0,0.0,3.98,0,0.0
1062,0,0.0,3.96,0,0.0
1064,1,5.57,7.64,13,9.0
1066,0,3.65,6.3,0,0.0
1070,1,8.43,6.25,8,5.75
1078,1,5.0,6.53,12,8.64
1080,1,4.28,5.28,8,5.58
1082,1,6.78,7.59,6,3.83
1084,0,8.61,7.94,0,0.0
1088,1,7.5,5.79,12,5.56
1090,0,9.58,8.87,0,0.0
1092,1,7.78,5.6,6,2.75
1094,0,8.89,7.36,0,0.0
1096,1,7.92,9.07,22,6.79
1100,1,9.27,8.52,9,8.08
1102,0,6.08,6.55,0,0.0
1104,1,7.22,5.74,7,8.5
1106,1,6.81,8.17,10,7.75
1108,1,5.06,8.24,3,3.17
1110,0,0.0,3.98,0,0.0
1112,0,6.67,7.01,0,0.0
1114,1,8.33,9.24,19,7.86
1116,0,4.46,6.3,0,0.0
1118,1,5.0,7.36,12,5.78
1120,0,0.0,7.59,0,0.0
1122,1,5.87,6.94,8,4.61
1124,1,7.5,9.72,1,1.0
1126,0,0.0,4.97,0,0.0
1128,1,6.11,7.41,7,6.17
1130,1,5.28,9.17,6,8.33
1132,1,5.28,7.5,3,3.0
1134,0,0.0,7.04,0,0.0
1136,0,6.41,6.99,0,0.0
1138,1,3.61,7.82,6,7.17
1144,1,3.89,8.7,5,6.83
1146,1,4.31,5.93,6,5.33
1148,1,1.39,6.71,21,6.83
1152,1,4.44,8.89,8,8.0
1154,1,9.17,9.67,8,3.92
1157,1,7.64,7.13,8,4.11
1160,0,0.0,7.22,0,0.0
1163,0,3.57,5.37,0,0.0
1166,1,2.98,5.83,9,3.67
1169,0,3.47,4.72,0,0.0
1172,1,8.19,9.03,6,6.83
1175,0,0.97,6.85,0,0.0
1178,1,6.67,5.28,8,5.0
1181,0,0.0,5.86,0,0.0
1184,1,0.0,5.93,8,2.5
1187,1,5.96,8.69,9,6.33
1190,0,10.0,8.7,0,0.0
1196,1,3.47,6.2,7,6.17
1202,1,2.52,5.0,6,5.5
1205,1,5.0,7.87,7,6.83
1208,0,7.22,3.98,0,0.0
1211,1,7.81,8.06,19,9.22
1214,0,0.0,6.94,0,0.0
1217,1,5.14,9.72,10,6.42
1220,1,8.77,6.69,7,5.33
1223,0,0.0,5.74,0,0.0
1226,0,0.0,5.63,0,0.0
1229,1,0.0,6.2,9,7.42
